Sample	Filename	File type	Encoding	Total Sequences	Sequences flagged as poor quality	Sequence length	%GC	total_deduplicated_percentage	avg_sequence_length	basic_statistics	per_base_sequence_quality	per_tile_sequence_quality	per_sequence_quality_scores	per_base_sequence_content	per_sequence_gc_content	per_base_n_content	sequence_length_distribution	sequence_duplication_levels	overrepresented_sequences	adapter_content
s_171-T2a_B2_DNA_trimmed_read2	s_171-T2a_B2_DNA_trimmed_read2.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	15717256.0	0.0	75-151	50.0	77.39395200561347	139.3829150584555	pass	pass	pass	pass	fail	pass	pass	warn	pass	pass	fail
s_172-T2a_B2_DNA_trimmed_read1	s_172-T2a_B2_DNA_trimmed_read1.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	33393010.0	0.0	75-151	49.0	77.844683456389	144.86927324011822	pass	pass	pass	pass	warn	fail	pass	warn	pass	pass	fail
s_172-T2a_B2_DNA_trimmed_read2	s_172-T2a_B2_DNA_trimmed_read2.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	33393010.0	0.0	75-151	49.0	80.07364391689296	139.14078682933945	pass	pass	pass	pass	warn	fail	pass	warn	pass	pass	fail
s_19__octothorp_2_trimmed_read1	s_19__octothorp_2_trimmed_read1.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	39123864.0	0.0	75-151	47.0	81.58732405332992	143.05215246633102	pass	pass	fail	pass	pass	warn	pass	warn	pass	pass	fail
s_19__octothorp_2_trimmed_read2	s_19__octothorp_2_trimmed_read2.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	39123864.0	0.0	75-151	47.0	81.52686385412805	136.0686916302541	pass	pass	fail	pass	pass	warn	pass	warn	pass	pass	warn
s_200-T2b_B2_DNA_trimmed_read1	s_200-T2b_B2_DNA_trimmed_read1.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	29917172.0	0.0	75-151	50.0	78.56963840794673	144.40313917371603	pass	pass	fail	pass	warn	warn	pass	warn	pass	pass	fail
s_200-T2b_B2_DNA_trimmed_read2	s_200-T2b_B2_DNA_trimmed_read2.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	29917172.0	0.0	75-151	50.0	79.91242850948787	139.4852860424107	pass	pass	pass	pass	warn	pass	pass	warn	pass	pass	fail
s_201-T2b_B2_DNA_trimmed_read1	s_201-T2b_B2_DNA_trimmed_read1.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	38692111.0	0.0	75-151	51.0	79.55992831529113	144.65422137344743	pass	pass	fail	pass	warn	fail	pass	warn	pass	pass	fail
s_201-T2b_B2_DNA_trimmed_read2	s_201-T2b_B2_DNA_trimmed_read2.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	38692111.0	0.0	75-151	51.0	80.42752919737326	138.20140457055962	pass	pass	pass	pass	warn	fail	pass	warn	pass	pass	fail
s_202-T2b_B2_DNA_trimmed_read1	s_202-T2b_B2_DNA_trimmed_read1.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	37029101.0	0.0	75-151	52.0	79.40784636423099	144.52186581575393	pass	pass	fail	pass	pass	fail	pass	warn	pass	pass	warn
s_202-T2b_B2_DNA_trimmed_read2	s_202-T2b_B2_DNA_trimmed_read2.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	37029101.0	0.0	75-151	52.0	80.52158018842447	137.9215576419206	pass	pass	pass	pass	pass	fail	pass	warn	pass	pass	warn
s_203-T2b_B2_DNA_trimmed_read1	s_203-T2b_B2_DNA_trimmed_read1.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	17159214.0	0.0	75-151	50.0	53.73619829296475	145.09484432095783	pass	pass	pass	pass	warn	pass	pass	warn	warn	pass	fail
s_203-T2b_B2_DNA_trimmed_read2	s_203-T2b_B2_DNA_trimmed_read2.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	17159214.0	0.0	75-151	50.0	55.10145571342861	141.26904111109053	pass	pass	pass	pass	warn	fail	pass	warn	warn	pass	fail
s_204-T2b_B2_DNA_trimmed_read1	s_204-T2b_B2_DNA_trimmed_read1.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	38168709.0	0.0	75-151	48.0	74.36194138731415	144.53351513670532	pass	pass	fail	pass	pass	fail	pass	warn	pass	pass	fail
s_204-T2b_B2_DNA_trimmed_read2	s_204-T2b_B2_DNA_trimmed_read2.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	38168709.0	0.0	75-151	49.0	76.0461916610572	139.15931288113518	pass	pass	pass	pass	pass	fail	pass	warn	pass	pass	fail
s_205-T2b_B2_DNA_trimmed_read1	s_205-T2b_B2_DNA_trimmed_read1.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	29960444.0	0.0	75-151	49.0	78.35310753690007	144.47870592304974	pass	pass	fail	pass	warn	fail	pass	warn	pass	pass	fail
s_205-T2b_B2_DNA_trimmed_read2	s_205-T2b_B2_DNA_trimmed_read2.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	29960444.0	0.0	75-151	50.0	79.78004010959545	139.24900345268583	pass	pass	pass	pass	warn	warn	pass	warn	pass	pass	fail
s_206-T2b_B2_DNA_trimmed_read1	s_206-T2b_B2_DNA_trimmed_read1.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	20726112.0	0.0	75-151	50.0	83.18495479669991	143.75415099561366	pass	pass	fail	pass	warn	warn	pass	warn	pass	pass	fail
s_206-T2b_B2_DNA_trimmed_read2	s_206-T2b_B2_DNA_trimmed_read2.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	20726112.0	0.0	75-151	50.0	84.71569379308787	139.24038160172057	pass	pass	pass	pass	warn	pass	pass	warn	pass	pass	fail
s_42C__octothorp_2_trimmed_read1	s_42C__octothorp_2_trimmed_read1.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	26128476.0	0.0	75-151	49.0	56.27135601769877	145.5292525289267	pass	pass	pass	pass	pass	fail	pass	warn	warn	pass	fail
s_42C__octothorp_2_trimmed_read2	s_42C__octothorp_2_trimmed_read2.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	26128476.0	0.0	75-151	49.0	59.68728031614816	138.11048535704876	pass	pass	pass	pass	warn	fail	pass	warn	warn	pass	fail
s_57__octothorp_2_trimmed_read1	s_57__octothorp_2_trimmed_read1.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	32307563.0	0.0	75-151	48.0	72.65981812693454	145.70758475345232	pass	pass	warn	pass	warn	fail	pass	warn	pass	pass	fail
s_57__octothorp_2_trimmed_read2	s_57__octothorp_2_trimmed_read2.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	32307563.0	0.0	75-151	48.0	74.83928850282754	137.92413243920626	pass	pass	pass	pass	pass	fail	pass	warn	pass	pass	fail
s_61-T2a_B2_DNA_trimmed_read1	s_61-T2a_B2_DNA_trimmed_read1.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	32175946.0	0.0	75-151	49.0	77.05484679481256	144.636483228807	pass	pass	pass	pass	fail	fail	pass	warn	pass	pass	fail
s_61-T2a_B2_DNA_trimmed_read2	s_61-T2a_B2_DNA_trimmed_read2.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	32175946.0	0.0	75-151	50.0	79.03176192877444	139.1260939460801	pass	pass	pass	pass	fail	warn	pass	warn	pass	pass	fail
s_62-T2a_B2_DNA_trimmed_read1	s_62-T2a_B2_DNA_trimmed_read1.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	31269068.0	0.0	75-151	49.0	81.469770642051	144.47367136110356	pass	pass	pass	pass	warn	fail	pass	warn	pass	pass	fail
s_62-T2a_B2_DNA_trimmed_read2	s_62-T2a_B2_DNA_trimmed_read2.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	31269068.0	0.0	75-151	49.0	82.17859058603595	140.27621712294078	pass	pass	pass	pass	warn	fail	pass	warn	pass	pass	fail
s_65-T2a_B2_DNA_trimmed_read1	s_65-T2a_B2_DNA_trimmed_read1.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	37987817.0	0.0	75-151	50.0	82.06953714219989	144.2815595852744	pass	pass	pass	pass	pass	warn	pass	warn	pass	pass	fail
s_65-T2a_B2_DNA_trimmed_read2	s_65-T2a_B2_DNA_trimmed_read2.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	37987817.0	0.0	75-151	50.0	82.4328576811096	138.90467530682272	pass	pass	pass	pass	pass	pass	pass	warn	pass	pass	fail
s_66-T2a_B2_DNA_trimmed_read1	s_66-T2a_B2_DNA_trimmed_read1.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	23326996.0	0.0	75-151	49.0	84.25598952857656	144.18934825555763	pass	pass	pass	pass	warn	fail	pass	warn	pass	pass	fail
s_66-T2a_B2_DNA_trimmed_read2	s_66-T2a_B2_DNA_trimmed_read2.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	23326996.0	0.0	75-151	49.0	84.94206813705486	139.7246048312436	pass	pass	pass	pass	warn	fail	pass	warn	pass	pass	fail
s_69-T2a_B2_DNA_trimmed_read1	s_69-T2a_B2_DNA_trimmed_read1.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	33100835.0	0.0	75-151	50.0	80.13163791160898	144.50927132200744	pass	pass	pass	pass	fail	pass	pass	warn	pass	pass	fail
s_69-T2a_B2_DNA_trimmed_read2	s_69-T2a_B2_DNA_trimmed_read2.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	33100835.0	0.0	75-151	50.0	81.57466268024807	137.80097402376708	pass	pass	pass	pass	fail	pass	pass	warn	pass	pass	fail
s_70-T2a_B2_DNA_trimmed_read1	s_70-T2a_B2_DNA_trimmed_read1.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	38627934.0	0.0	75-151	48.0	78.13361294223515	145.3853525275258	pass	pass	fail	pass	pass	fail	pass	warn	pass	pass	fail
s_70-T2a_B2_DNA_trimmed_read2	s_70-T2a_B2_DNA_trimmed_read2.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	38627934.0	0.0	75-151	48.0	78.51925419908294	138.99043417646928	pass	pass	fail	pass	pass	warn	pass	warn	pass	pass	fail
s_73-T2a_B2_DNA_trimmed_read1	s_73-T2a_B2_DNA_trimmed_read1.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	18894240.0	0.0	75-151	48.0	83.56312271744288	144.39678812167094	pass	pass	pass	pass	fail	fail	pass	warn	pass	pass	fail
s_73-T2a_B2_DNA_trimmed_read2	s_73-T2a_B2_DNA_trimmed_read2.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	18894240.0	0.0	75-151	48.0	85.13229565764838	138.75850671950818	pass	pass	pass	pass	fail	fail	pass	warn	pass	pass	fail
s_74-T2a_B2_DNA_trimmed_read1	s_74-T2a_B2_DNA_trimmed_read1.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	36201650.0	0.0	75-151	52.0	80.00809256271448	144.30598119146504	pass	pass	pass	pass	warn	fail	pass	warn	pass	pass	warn
s_74-T2a_B2_DNA_trimmed_read2	s_74-T2a_B2_DNA_trimmed_read2.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	36201650.0	0.0	75-151	52.0	81.16556592254581	136.2345339508006	pass	pass	pass	pass	warn	fail	pass	warn	pass	pass	warn
s_CSCC-302_-_T2a_B4_DNA_trimmed_read1	s_CSCC-302_-_T2a_B4_DNA_trimmed_read1.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	26453780.0	0.0	75-101	52.0	80.76221719524838	100.35588467886252	pass	pass	pass	pass	fail	fail	pass	warn	pass	pass	warn
s_CSCC-302_-_T2a_B4_DNA_trimmed_read2	s_CSCC-302_-_T2a_B4_DNA_trimmed_read2.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	26453780.0	0.0	75-101	52.0	81.64618804208662	99.99412310830436	pass	pass	pass	pass	fail	fail	pass	warn	pass	pass	warn
s_CSCC-349-T3_B4_DNA_trimmed_read1	s_CSCC-349-T3_B4_DNA_trimmed_read1.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	37921698.0	0.0	75-101	51.0	73.49714225513114	100.44429503130371	pass	pass	pass	pass	fail	fail	pass	warn	pass	pass	warn
s_CSCC-349-T3_B4_DNA_trimmed_read2	s_CSCC-349-T3_B4_DNA_trimmed_read2.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	37921698.0	0.0	75-101	51.0	74.13650686966308	99.94060590324833	pass	pass	fail	pass	fail	fail	pass	warn	pass	pass	warn
s_CSCC-350-T3_B4_DNA_trimmed_read1	s_CSCC-350-T3_B4_DNA_trimmed_read1.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	38275454.0	0.0	75-101	51.0	76.5736983033558	100.45222739879192	pass	pass	pass	pass	warn	fail	pass	warn	pass	pass	warn
s_CSCC-350-T3_B4_DNA_trimmed_read2	s_CSCC-350-T3_B4_DNA_trimmed_read2.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	38275454.0	0.0	75-101	51.0	77.31659113637895	99.93180255941576	pass	pass	fail	pass	warn	fail	pass	warn	pass	pass	warn
s_CSCC-359-T2a_B4_DNA_trimmed_read1	s_CSCC-359-T2a_B4_DNA_trimmed_read1.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	12488410.0	0.0	75-101	53.0	63.34043333655275	100.39608148675453	pass	pass	pass	pass	fail	warn	pass	warn	warn	pass	fail
s_CSCC-359-T2a_B4_DNA_trimmed_read2	s_CSCC-359-T2a_B4_DNA_trimmed_read2.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	12488410.0	0.0	75-101	53.0	65.28270528461898	100.37297005783763	pass	pass	pass	pass	fail	fail	pass	warn	warn	pass	fail
s_CSCC-360-T2b_B4_DNA_trimmed_read1	s_CSCC-360-T2b_B4_DNA_trimmed_read1.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	37351872.0	0.0	75-101	51.0	76.446571869539	100.17718298028008	pass	pass	pass	pass	warn	fail	pass	warn	pass	pass	warn
s_CSCC-360-T2b_B4_DNA_trimmed_read2	s_CSCC-360-T2b_B4_DNA_trimmed_read2.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	37351872.0	0.0	75-101	51.0	77.3209284301531	100.17038463293085	pass	pass	pass	pass	warn	fail	pass	warn	pass	pass	warn
s_CSCC-363-T2a_B4_DNA_trimmed_read1	s_CSCC-363-T2a_B4_DNA_trimmed_read1.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	31308845.0	0.0	75-101	52.0	69.68159938429774	100.34324706005603	pass	pass	pass	pass	fail	fail	pass	warn	warn	pass	fail
s_CSCC-363-T2a_B4_DNA_trimmed_read2	s_CSCC-363-T2a_B4_DNA_trimmed_read2.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	31308845.0	0.0	75-101	52.0	71.28270692096483	100.14705540878305	pass	pass	pass	pass	fail	fail	pass	warn	pass	pass	fail
s_CSCC-364-T2b_B4_DNA_trimmed_read1	s_CSCC-364-T2b_B4_DNA_trimmed_read1.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	31529664.0	0.0	75-101	49.0	68.66605231756122	100.33808596881971	pass	pass	pass	pass	pass	fail	pass	warn	warn	pass	pass
s_CSCC-364-T2b_B4_DNA_trimmed_read2	s_CSCC-364-T2b_B4_DNA_trimmed_read2.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	31529664.0	0.0	75-101	49.0	71.01501889605075	99.91141865641194	pass	pass	pass	pass	pass	fail	pass	warn	pass	pass	pass
s_CSCC-373-T2b_B4_DNA_trimmed_read1	s_CSCC-373-T2b_B4_DNA_trimmed_read1.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	37080906.0	0.0	75-101	51.0	75.46673224458456	100.35712476928153	pass	pass	pass	pass	fail	fail	pass	warn	pass	pass	warn
s_CSCC-373-T2b_B4_DNA_trimmed_read2	s_CSCC-373-T2b_B4_DNA_trimmed_read2.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	37080906.0	0.0	75-101	51.0	76.33148814508719	100.03999344028973	pass	pass	pass	pass	fail	fail	pass	warn	pass	pass	warn
s_CSCC-374-T2b_B4_DNA_trimmed_read1	s_CSCC-374-T2b_B4_DNA_trimmed_read1.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	48781865.0	0.0	75-101	52.0	72.8931809597021	100.50900460652744	pass	pass	pass	pass	warn	fail	pass	warn	pass	pass	pass
s_CSCC-374-T2b_B4_DNA_trimmed_read2	s_CSCC-374-T2b_B4_DNA_trimmed_read2.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	48781865.0	0.0	75-101	52.0	73.71388889982833	100.11733958921005	pass	pass	pass	pass	warn	fail	pass	warn	pass	pass	pass
s_CSCC_10C_DNA_combined_trimmed_read1	s_CSCC_10C_DNA_combined_trimmed_read1.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	25321259.0	0.0	75-151	48.0	78.72225102897595	145.5311504060679	pass	pass	warn	pass	pass	warn	pass	warn	pass	pass	fail
s_CSCC_10C_DNA_combined_trimmed_read2	s_CSCC_10C_DNA_combined_trimmed_read2.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	25321259.0	0.0	75-151	48.0	80.45236156473307	138.37929891242769	pass	pass	pass	pass	pass	warn	pass	warn	pass	pass	fail
s_CSCC_10T_DNA_trimmed_read1	s_CSCC_10T_DNA_trimmed_read1.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	34567217.0	0.0	75-151	48.0	72.97996808523945	145.48402123318172	pass	pass	pass	pass	pass	fail	pass	warn	pass	pass	fail
s_CSCC_10T_DNA_trimmed_read2	s_CSCC_10T_DNA_trimmed_read2.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	34567217.0	0.0	75-151	48.0	74.3003539044189	138.72441701048714	pass	pass	fail	pass	pass	warn	pass	warn	pass	pass	fail
s_CSCC_12_DNA_trimmed_read1	s_CSCC_12_DNA_trimmed_read1.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	24219677.0	0.0	75-151	50.0	66.84083488204561	145.5446409958316	pass	pass	warn	pass	pass	pass	pass	warn	warn	pass	fail
s_CSCC_12_DNA_trimmed_read2	s_CSCC_12_DNA_trimmed_read2.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	24219677.0	0.0	75-151	50.0	69.10237705424461	139.16674429638348	pass	pass	pass	pass	warn	pass	pass	warn	warn	pass	fail
s_CSCC_14_DNA_trimmed_read1	s_CSCC_14_DNA_trimmed_read1.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	25525722.0	0.0	75-151	50.0	71.79942130413752	145.51632114460855	pass	pass	warn	pass	pass	fail	pass	warn	pass	pass	fail
s_CSCC_14_DNA_trimmed_read2	s_CSCC_14_DNA_trimmed_read2.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	25525722.0	0.0	75-151	50.0	73.81119622816176	138.71342506981782	pass	pass	pass	pass	warn	fail	pass	warn	pass	pass	fail
s_CSCC_16_DNA_trimmed_read1	s_CSCC_16_DNA_trimmed_read1.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	25335670.0	0.0	75-151	46.0	77.36712684158516	145.75973534546353	pass	pass	warn	pass	warn	warn	pass	warn	pass	pass	fail
s_CSCC_16_DNA_trimmed_read2	s_CSCC_16_DNA_trimmed_read2.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	25335670.0	0.0	75-151	47.0	79.37533854960122	138.19078295541425	pass	pass	pass	pass	warn	warn	pass	warn	pass	pass	fail
s_CSCC_18_DNA_trimmed_read1	s_CSCC_18_DNA_trimmed_read1.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	34009202.0	0.0	75-151	50.0	79.26040120415247	142.60986947003343	pass	pass	fail	pass	pass	fail	pass	warn	pass	pass	fail
s_CSCC_18_DNA_trimmed_read2	s_CSCC_18_DNA_trimmed_read2.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	34009202.0	0.0	75-151	50.0	78.59674308969363	138.63896965297803	pass	pass	fail	pass	pass	fail	pass	warn	pass	pass	fail
s_CSCC_1_DNA_trimmed_read1	s_CSCC_1_DNA_trimmed_read1.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	24633220.0	0.0	75-151	50.0	83.17655393297065	138.08847572505746	pass	pass	pass	pass	pass	warn	pass	warn	pass	pass	warn
s_CSCC_1_DNA_trimmed_read2	s_CSCC_1_DNA_trimmed_read2.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	24633220.0	0.0	75-151	50.0	84.88758636535886	133.07025658846064	pass	pass	warn	pass	pass	pass	pass	warn	pass	pass	pass
s_CSCC_29_DNA_trimmed_read1	s_CSCC_29_DNA_trimmed_read1.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	24512089.0	0.0	75-151	51.0	83.8714265996029	142.41852214227845	pass	pass	pass	pass	pass	warn	pass	warn	pass	pass	fail
s_CSCC_29_DNA_trimmed_read2	s_CSCC_29_DNA_trimmed_read2.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	24512089.0	0.0	75-151	51.0	85.38776068762944	134.7084966116107	pass	pass	warn	pass	pass	warn	pass	warn	pass	pass	warn
s_CSCC_2_DNA_trimmed_read1	s_CSCC_2_DNA_trimmed_read1.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	25404784.0	0.0	75-151	50.0	83.03599891142954	142.43932591593773	pass	pass	pass	pass	pass	pass	pass	warn	pass	pass	warn
s_CSCC_2_DNA_trimmed_read2	s_CSCC_2_DNA_trimmed_read2.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	25404784.0	0.0	75-151	50.0	84.36418119129905	134.1405768299388	pass	pass	warn	pass	pass	pass	pass	warn	pass	pass	warn
s_CSCC_300-T2b_B4_DNA_trimmed_read1	s_CSCC_300-T2b_B4_DNA_trimmed_read1.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	33722568.0	0.0	75-101	51.0	73.79496079658017	100.37792507379628	pass	pass	pass	pass	pass	fail	pass	warn	pass	pass	warn
s_CSCC_300-T2b_B4_DNA_trimmed_read2	s_CSCC_300-T2b_B4_DNA_trimmed_read2.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	33722568.0	0.0	75-101	51.0	75.46454806732606	99.99748936676471	pass	pass	pass	pass	pass	fail	pass	warn	pass	pass	warn
s_CSCC_301-T2b_B4_DNA_trimmed_read1	s_CSCC_301-T2b_B4_DNA_trimmed_read1.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	44696778.0	0.0	75-101	52.0	74.86585900312252	100.39144425578058	pass	pass	pass	pass	warn	fail	pass	warn	pass	pass	pass
s_CSCC_301-T2b_B4_DNA_trimmed_read2	s_CSCC_301-T2b_B4_DNA_trimmed_read2.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	44696778.0	0.0	75-101	52.0	75.84262718974742	99.96938141715718	pass	pass	pass	pass	warn	fail	pass	warn	pass	pass	pass
s_CSCC_303-_T2a_B4_DNA_trimmed_read1	s_CSCC_303-_T2a_B4_DNA_trimmed_read1.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	28836759.0	0.0	75-101	50.0	81.61714734128218	100.32559855287482	pass	pass	pass	pass	warn	fail	pass	warn	pass	pass	pass
s_CSCC_303-_T2a_B4_DNA_trimmed_read2	s_CSCC_303-_T2a_B4_DNA_trimmed_read2.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	28836759.0	0.0	75-101	51.0	82.30264746865052	99.98209878578935	pass	pass	pass	pass	warn	fail	pass	warn	pass	pass	pass
s_CSCC_304-T2b_B4_DNA_trimmed_read1	s_CSCC_304-T2b_B4_DNA_trimmed_read1.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	32354570.0	0.0	75-101	49.0	74.80101326278906	100.45329036979938	pass	pass	pass	pass	fail	fail	pass	warn	pass	pass	warn
s_CSCC_304-T2b_B4_DNA_trimmed_read2	s_CSCC_304-T2b_B4_DNA_trimmed_read2.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	32354570.0	0.0	75-101	49.0	75.71054430725195	100.131662853192	pass	pass	warn	pass	fail	fail	pass	warn	pass	pass	warn
s_CSCC_305-T2b_B4_DNA_trimmed_read1	s_CSCC_305-T2b_B4_DNA_trimmed_read1.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	45442791.0	0.0	75-101	50.0	67.17281867452301	100.47678385335091	pass	pass	pass	pass	warn	fail	pass	warn	warn	pass	warn
s_CSCC_305-T2b_B4_DNA_trimmed_read2	s_CSCC_305-T2b_B4_DNA_trimmed_read2.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	45442791.0	0.0	75-101	50.0	68.74105219752443	100.08840680582317	pass	pass	warn	pass	warn	fail	pass	warn	warn	pass	warn
s_CSCC_306-T2a_B4_DNA_trimmed_read1	s_CSCC_306-T2a_B4_DNA_trimmed_read1.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	33102106.0	0.0	75-101	50.0	68.99545984271137	100.43017773551931	pass	pass	pass	pass	fail	fail	pass	warn	warn	pass	fail
s_CSCC_306-T2a_B4_DNA_trimmed_read2	s_CSCC_306-T2a_B4_DNA_trimmed_read2.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	33102106.0	0.0	75-101	50.0	70.70758090322968	100.13885488131783	pass	pass	warn	pass	fail	fail	pass	warn	pass	pass	fail
s_CSCC_307-T2a_B4_DNA_trimmed_read1	s_CSCC_307-T2a_B4_DNA_trimmed_read1.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	34288042.0	0.0	75-101	50.0	76.94501910864716	100.4398818981848	pass	pass	pass	pass	warn	fail	pass	warn	pass	pass	warn
s_CSCC_307-T2a_B4_DNA_trimmed_read2	s_CSCC_307-T2a_B4_DNA_trimmed_read2.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	34288042.0	0.0	75-101	50.0	77.58327701088817	100.0514233504497	pass	pass	warn	pass	warn	fail	pass	warn	pass	pass	warn
s_CSCC_30C_DNA_trimmed_read1	s_CSCC_30C_DNA_trimmed_read1.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	24933097.0	0.0	75-151	51.0	83.95385443166512	142.18063732716396	pass	pass	pass	pass	pass	fail	pass	warn	pass	pass	fail
s_CSCC_30C_DNA_trimmed_read2	s_CSCC_30C_DNA_trimmed_read2.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	24933097.0	0.0	75-151	51.0	84.92307047153224	135.44518115820108	pass	pass	warn	pass	pass	warn	pass	warn	pass	pass	warn
s_CSCC_310-T2a_B4_DNA_trimmed_read1	s_CSCC_310-T2a_B4_DNA_trimmed_read1.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	30800146.0	0.0	75-101	51.0	71.48519336057758	100.44519379875666	pass	pass	pass	pass	warn	fail	pass	warn	pass	pass	fail
s_CSCC_310-T2a_B4_DNA_trimmed_read2	s_CSCC_310-T2a_B4_DNA_trimmed_read2.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	30800146.0	0.0	75-101	51.0	72.94372462797061	100.01888708579499	pass	pass	fail	pass	warn	fail	pass	warn	pass	pass	fail
s_CSCC_311-T2a_B4_DNA_trimmed_read1	s_CSCC_311-T2a_B4_DNA_trimmed_read1.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	34926559.0	0.0	75-101	51.0	61.22042934107584	100.43941760767214	pass	pass	pass	pass	fail	fail	pass	warn	warn	pass	fail
s_CSCC_311-T2a_B4_DNA_trimmed_read2	s_CSCC_311-T2a_B4_DNA_trimmed_read2.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	34926559.0	0.0	75-101	51.0	62.60843915028397	100.05522058442688	pass	pass	fail	pass	fail	fail	pass	warn	warn	pass	fail
